id,date,text,label,Anna-Felicitas Hausmann,Long Gu,Fils Alain Bassong,Alexa Rohde,Lingfeng Yang,Frédéric Horbach,Doan Nam Long Vu,Amine Chouchane,Kea Busemann,Dominik Beese,Hannah Klohr,Amira Chebbi,Ecehan Yildiz,Johanna Wenzel,Agnes Kleinhans,Kristina Raysbikh,Jonas Rikowski,Alba Ciliberti,Dorian-Benedikt Arnouts,PARTH MODI,Vincent Andrae,Marius Kaufmann,Valentin Morari,Kristina Becker,Johannes Wehrstein,Alexander Peerdeman,Yuwei Fu,Peter Heldmann,Elias Wendt,Mari Akazawa,Marion Fischer,Tianxing LI,Katharina Becher,Celina Wieschnat,Zhiyang Tong,Nils Rollshausen,Fabian Bauer,Marc Blum,Marc Wendelborn,Victoria Stanilescu,JiZe Liu,Christian Richter,Per Philipp Herrmann,Felix Wagner,Maurice Roth,Stefan Braun,Lukas Leist,Katharina Kornmeier,Chengjing Huang,Ragini Menon,Dustin Glaser,Siyang Zhang,Marius Leon Hammann,Maximilian Ratzke,Dan Huang,Jihed Ouni,Sebastian Majer,Jakob Steeg,David Eckhardt,Simon Jungherz,Miron Abraha,Jens Grünwald,Jan Wameling,Sebastian Bartsch,Simon Althaus,Matthias Lang,Leon Camus,Sebastian Blanke,Hendrik Speh,YI ZHANG,Bilawal Aziz,Larissa Kranewitter-Call,Mattin Sayed,Ramy Hcini,Guoqiang Yao,Xin Chen,Chang You,Max Rink,Lennart Mischnaewski,Sebastian Wolf,Franziska Raßmann,Yiran Shu,Myra Zmarsly,Rami Al Hasan,Peiyi Zhang,Yu-Qin Lee,Nicolas Daniel Torres,Yiwen Zhang,Tobias Kopf,Ying Lin,Tobias Gockel,Paul Wagner,Yannik Benz,Patrick Korus,Zsofia Pilz,Caroline Katerina Iliadi,Adrian Möller,Mei Ling Fang,Nina Kretschmer,Tamara Allam,Sooyeong Kim,Julian Schwind,Najib Birouk,Ferdaous Ben Salha,Alexander Sinkovic,Marco Moebius,Yue LIU,Julian Häußler,Nan Yin,Marie-Helene Sibila,Katja Jungherz,Kathrin Ferring,Xu Lu,Ahlem Ghrouda,Dominik Iffland,Poma Panezai,Shiying Fan,Ashwin Arora,Rafik Bagirov,Hoa-Viet Nguyen,Dennis Weinberger,Arsal Ali,Manon Kerber,Patrizia Maria Maruca
1216337392292061185,2020-01-12 12:33:27+00:00,"Open the Borders, bring down the Walls!... is not a senseless demand. In fact a very sensible one. The alternative is border barbarism.
#OpenTheBorders #RefugeesWelcome 

https://www.bbc.co.uk/news/world-europe-51081865?SThisFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233477077715816448,2020-02-28 19:40:26+00:00,"@amnesty 'The #EU Commission must also urgently coordinate any support that might be required to #Greece and #Bulgaria to ensure asylum-seekers have access to adequate reception and asylum procedures'

#SafePassage
#OPENTHEBORDERS
#SpeakUpForIdlib
#Syria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220022390291410945,2020-01-22 16:36:19+00:00,"There Should Be No Hierarchy of Rights for Displaced Children 


#EuropeanUnion #France #Greece #HumanRights #Italy #Migration #OpenDemocracy #Racism #RefugeeCrisis #Refugees #RefugeesWelcome


https://redrevolution.co.uk/2020/01/22/there-should-be-no-hierarchy-of-rights-for-displaced-children/",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258146164941090816,2020-05-06 21:26:35+00:00,@Zimmlaw175 @EU_Commission @euunvie EU is as corrupt as the UN! Both should be defunded/outlawed!#ExitEU #DefundUN #EnemiesOfHumanity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1
1169761900889952256,2019-09-05 23:59:04+00:00,We just received our first fan letter from a young reader for Ghost's Journey- A #Refugee Story  written by #RobinStevenson,0,0,2,0,3,0,3,0,3,0,0,3,3,3,0,2,3,2,2,3,0,2,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,3,3,3,2,0,3,3,3,3,3,2,3,0,3,2,0,3,3,3,3,0,0,0,3,3,2,3,3,0,3,2,0,3,3,2,3,3,0,0,2,3,2,3,3,3,2,2,3,2,0,2,3,3,3,2,3,3,0,0,0,3,3,3,3,0,3,0,3,0,3,3,3,2,3,2,0,3,0,0
1241894004549193729,2020-03-23 01:06:18+00:00,@PatrickW Especially if we ALL say no! #DebtJubilee #debtstrike #debtUnion                    https://strikedebt.org/,2,3,0,3,1,3,0,1,2,2,1,2,1,1,0,2,3,1,3,1,2,1,1,2,3,1,1,3,3,1,1,3,3,3,2,0,2,2,1,1,3,3,2,2,1,1,1,1,2,1,3,1,3,3,3,3,3,1,3,0,3,1,3,3,1,1,3,2,2,1,3,3,3,0,2,1,2,3,1,0,2,3,3,3,1,2,2,2,3,3,2,1,1,3,3,3,1,2,1,2,3,3,2,2,1,0,1,3,3,3,2,3,2,1,2,2,3,3,1,0,3,1,2,2,2
1224275011235610624,2020-02-03 10:14:43+00:00,"""Love Won!"" https://lttr.ai/MxEb #Refugees #RightOfAsylum #Asylumseeker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218199421676068865,2020-01-17 15:52:29+00:00,@mariofcenteno @SZ Any news on starting a real #FiscalUnion?,2,0,2,3,0,3,0,0,3,0,3,3,0,2,0,2,3,0,3,3,2,3,0,2,3,2,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,3,3,0,0,3,3,3,3,3,0,3,0,3,0,3,3,2,3,0,3,3,3,2,2,3,3,3,3,3,0,2,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,0,2,3,3,2,3,0,3,3,2,3,3,2,3,2,0,2,3,3,3,3,3,3,2,3,3,2
1257805841140527108,2020-05-05 22:54:16+00:00,"They aren't seeking sanctuary in France.


Please donate to support those who find a home here. https://bit.ly/34r4hDt


#RefugeesWelcome https://twitter.com/UK_National/status/1257712296178192386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231979399123210240,2020-02-24 16:29:12+00:00,"Her willingness to read and discover has accelerated the process of becoming integrated after her arrival in Germany. 
 
http://rawafed.interaxion-tk.de/index.php/en/personal-stories/living-in-germany-as-a-foreigner-the-language-barrier-and-the-social-activities 

#arianagrande #article #women #feminism #GirlPower  #magazine #heforshe #refugee  #foreigner",0,3,2,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,0,0,0,3,0,3,0,0,3,3,0,3,3,0,3,0,3,3,0,0,0,3,0,3,0,2,3,2,3,2,0,2,0,0,0,0,0,0,3,0,3,0,2,3,3,3,0,3,0,2,0,3,3,0,3,2,2,2,0,2,3,0,3,2,3,2,0,0,2,3,3,0,0,0,0,3,3,3,3,3,0,3,0,3,3,0,2,0,0,3,0,3,0,3
1224372783192465409,2020-02-03 16:43:13+00:00,Interesting piece that mentions #fiscalunion. It could be the symetric side of the #socialagenda on #minimumwage. One way to get all sides on track? https://twitter.com/stefanauer_hku/status/1224288692031782912,2,2,0,3,2,3,1,2,0,0,2,3,0,2,0,0,3,0,3,3,0,2,3,2,3,0,2,3,3,3,3,3,3,0,2,3,3,3,2,3,3,3,3,3,2,3,3,2,3,1,3,2,0,3,2,3,3,3,3,2,3,0,2,3,2,2,2,3,0,2,3,2,2,2,3,3,2,3,2,2,2,2,3,3,3,3,2,0,3,3,3,3,2,3,2,3,0,0,2,3,0,3,2,3,2,0,2,3,3,3,0,3,0,0,2,3,3,2,2,3,3,2,3,3,0
1208087378218364929,2019-12-20 18:10:50+00:00,Jesus was a child #refugee #RefugeesWelcome https://twitter.com/MacLeanKatie/status/1207939761769504769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233758611328901121,2020-02-29 14:19:09+00:00,"A fabulous day of networking, sharing and learning at our conference in #Glasgow today! We are incredibly inspired by churches' work with #refugees and #asylumseekers in this city! #RefugeesWelcome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230525031685533696,2020-02-20 16:10:04+00:00,"Causes of #eurocrisis

Lack of economic convergence 

Weak drachma boosted Greek exports 

Strong Euro led to consumer spending and boom in imports",3,1,2,3,3,3,3,2,3,3,3,3,0,3,2,2,3,2,3,3,1,3,3,3,3,2,3,3,3,1,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,1,2,3,3,3,3,2,3,1,3,3,3,3,3,0,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,2,2,0,3,0,3,3,3,3,3,3,1,1,3,3,3,3,0,3,3,3,3
1225933519752486913,2020-02-08 00:05:02+00:00,#refugees #refugeecrisis 1 author encyclopedia site:Will Islam take over Europe or will #Muslims gradually integrate http://bit.ly/SesVJ7,2,3,2,3,3,1,1,2,2,2,3,1,2,3,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,3,2,3,2,1,2,3,3,3,2,3,3,1,3,3,2,1,3,3,2,2,2,1,1,2,3,2,2,3,2,3,2,2,2,2,3,3,2,1,2,2,3,2,2,2,2,3,1,1,3,3,2,2,2,2,2,1,2,2,1,2,2,2,2,3,2,2,1,3,2,2,2,3,2,1,2,0,2,2,2,2,3,3,3,2,2,1,2,0,3,2,2,2,3,2,3
1188030074907512837,2019-10-26 09:50:17+00:00,"@BaronGreen_Back:""Here is an interesting tidbit.Kenya's debt distress is NOT because of Chinese loans but rather the syndicated loans &amp; #Eurobonds.And while we can point to projects when it comes to Chinese loans,we can't do the same with akina Eurobond""
#Ethiopia 
CC @marabyssi",3,1,0,3,2,3,3,3,3,3,3,3,1,1,2,2,3,3,3,2,0,2,3,1,1,1,3,3,3,2,3,3,3,3,2,0,3,3,1,1,3,3,3,3,1,3,3,2,3,1,3,1,3,3,3,3,3,1,3,1,3,1,2,3,3,2,3,0,3,2,3,3,3,1,1,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,0,3,2,2,3,3,3,1,3,1,3,1,1,3,3,2,3,3,3,3,0,1
1196630209497378826,2019-11-19 03:24:08+00:00,"Yet another atrocious safe third country agreement, this time signed w/ Guatemala. Basically, it means almost any #AsylumSeeker who enters the US w/out a visa can be sent by the US govt to Guatemala in order to first seek protection there. It’s an absurd &amp; inhumane agreement: 1/ https://twitter.com/Haleaziz/status/1196540739892596736",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,0,0,1
1177594689299582977,2019-09-27 14:43:47+00:00,"Following the earthquake and floods in Albania, the EU is helping provide relief through the #EUCivPro Mechanism. 

A big thanks to 🇦🇹🇭🇷🇮🇹🇬🇷🇭🇺🇫🇮🇲🇪🇳🇴🇸🇰🇸🇮 for offering emergency relief items, including tents, recovery camps, generators, electric heaters and food kits. #EUSolidarity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221065799726706694,2020-01-25 13:42:27+00:00,@AsmaraPalace @DahlaKib #Education is a human right and #Eritrea provides free education to all...education key to meeting the #GlobalGoals   #SDG4 #EducationForAll #LeaveNoOneBehind,0,0,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,3,3,0,0,0,3,3,3,0,3,0,3,0,0,3,3,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0
